truck,ID,GroupCount,mean_engine_power,mean_fuel_rate,mean_v,mean_mass_eff,mean_ego_m,mean_engine_rpm,mean_drag_reduction_ratio,mean_P_AD,mean_E_AD,mean_E_AD_true,mean_P_AD_true,std_v,mean_NPC,mean_NFC
L,9268,1669,108860.13108162,0.00763446144072606,22.1763343385261,21401.6266592213,21000,1644.03952076515,1,10818.5076148946,1.81979753379352,1.38749364826105,8248.50584781222,0.180982567598112,1.08107158430178,1.09359560827369
L,9269,1590,120365.747315267,0.00845465438175956,23.2773943559748,21401.6266592212,21000,1725.84358249138,1,11792.7202894509,1.98367132171848,1.4840492600678,8822.51894662909,0.200912357640599,1.07798561742542,1.093402486087
L,9270,1520,133482.85045603,0.00885130825058816,24.3614303664474,21355.2744616186,21000,1228.84897615353,1,13075.643028551,2.20424771348107,1.73855491334543,10313.1437058576,0.240827534927597,1.08195722054026,1.08961426179046
L,9271,1454,146365.889108495,0.00970827222513308,25.4587099683631,21355.2744616186,21000,1284.34164122974,1,13187.4385864294,2.2230938308225,1.76643236800117,10478.5133434867,0.260794115755109,1.07521187744172,1.08537032644138
L,9272,1395,160198.897823397,0.0106331588104762,26.5435534566308,21355.2744616186,21000,1339.22642322219,1,13162.1969795414,2.21883868603566,1.80871733010937,10729.3486133255,0.294260140349438,1.07027021644862,1.08304596493531
L,9273,1341,174943.501731462,0.0116139873118972,27.6214250745712,21355.2744616186,21000,1393.78269787353,1,15449.9232438118,2.60449584844655,1.86246782076441,11048.1976356546,0.329874452363938,1.06696749237274,1.07971849816121
L,9274,1290,189952.512096264,0.0126149863397307,28.6881418100775,21355.2744616186,21000,1447.78632202955,1,17948.4189195513,3.02568380596158,1.85979451857684,11032.339551784,0.368539922214721,1.06376714009895,1.07217210481634
L,9275,1244,204834.985013498,0.0136279677531125,29.7475133038585,21355.2744616186,21000,1501.42762334541,1,17919.1441475362,3.02074876382744,1.72864630592939,10254.3656417182,0.407611741426493,1.05607116912419,1.05990924602387
L,9276,1202,220166.453590499,0.0146911015829052,30.8022506372712,21355.2744616186,21000,1554.84815052005,1,17258.7227782815,2.90941716124888,1.54168935587546,9145.33314702125,0.451945776376989,1.04643946053239,1.04611368900732
L,9277,1162,234860.507312539,0.015703913275859,31.8562089027539,21355.2744616186,21000,1608.23140294274,1,12334.7683166269,2.07935355828205,1.03980160967414,6168.12465561781,0.508118804829364,1.02232140091514,1.02392523945259
L,9278,1854,94406.859916464,0.00656098138255638,19.9601079881338,23401.6266592214,23000,1479.40556026418,1,11551.0422104659,1.77695989100362,1.4915956718502,9696.04584420802,0.161848360198003,1.11395535640374,1.13859738298384
L,9279,1758,104352.123552158,0.00725853745233452,21.0630172468714,23401.6266592213,23000,1561.27874266332,1,11977.3104650644,1.84253506399912,1.55545239207643,10111.1433793237,0.179394714633622,1.1062123716374,1.11989652502055
L,9280,1670,115263.533507971,0.00803365574899557,22.1638649856287,23401.6266592213,23000,1643.0341369348,1,12618.7466838126,1.94121069971967,1.64724161605355,10707.814810116,0.195189858605868,1.10122492871788,1.11330568065442
L,9281,1591,127428.280802759,0.00890445797875688,23.2658586335638,23401.6266592213,23000,1724.89204371942,1,14624.8312561615,2.24981764254559,1.80780188422869,11751.5291023769,0.219369815370825,1.09962056919108,1.11588118426535
L,9282,1521,140527.953207595,0.00926107716952124,24.3393837199211,23355.2744616187,23000,1227.65756175081,1,15556.64491881,2.39791323367881,2.01746647679294,13088.4675785039,0.272339527305452,1.09903767510572,1.10585516885027
L,9283,1455,153402.242431533,0.0101421399439181,25.4327527498282,23355.2744616186,23000,1282.93939894345,1,16601.1795498768,2.55891860649169,2.0148914113217,13071.7616449379,0.296467651530266,1.09063832743259,1.10195828282763
L,9284,1397,167308.875437175,0.0110798116911577,26.5140344545455,23355.2744616186,23000,1337.63033638629,1,17044.5285583103,2.62725676423776,2.05206349649108,13312.9183814494,0.330987023085003,1.08566611004505,1.09872843250951
L,9285,1343,181936.802981558,0.0120425994546956,27.5822224713328,23355.2744616186,23000,1391.6763794086,1,19229.1805767187,2.96400070955918,2.09760214179569,13608.3538146993,0.368708826451433,1.08192401291547,1.09242308559922
L,9286,1292,195792.037659017,0.012964241348898,28.6418876679566,23355.2744616186,23000,1445.29959570568,1,20091.9380419209,3.09698680997227,1.92428676942466,12483.9571229929,0.409853077197442,1.07164417693552,1.07724415325344
L,9287,1246,210695.984006172,0.0139841135296199,29.6995084301766,23355.2744616186,23000,1498.83293640689,1,20514.9676309523,3.16219291675622,1.82127306095586,11815.6478356046,0.450553539373342,1.06325471045188,1.06487993596129
L,9288,1204,224359.296362425,0.0149325271736884,30.7563947956811,23355.2744616186,23000,1552.32114328327,1,17340.5842804648,2.67289102135204,1.45364525668587,9430.63442770242,0.504238842799795,1.04221277163109,1.04224155320494
L,9289,1164,240733.297857672,0.0160648489426993,31.8149472113402,23355.2744616186,23000,1605.92715720589,1,11105.1894380575,1.71176245617266,1.0893031629079,7066.9373171176,0.543182642375102,1.0205037361216,1.02760169025335
